Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fa6d74a8d5c3871d71e4c54cbd7b7963a23d64b2f6763e1a91e1c7ce2e5d0358,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.979971,50.792172,On or near Rook Farm Way,E01022945,Havant 016C,Investigation complete; no suspect identified
f5b9e1505f7fcf18e997d97743439791fd61736854626e335a751e9c71a7bad4,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.586036,50.720429,On or near Waters Edge,E01023052,New Forest 023C,Investigation complete; no suspect identified
a6b69763dbb790d17616612dd7de40e9321ee40f2fe5a736f26d4484d0feb22f,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.051726,51.298502,On or near Fennel Close,E01022496,Basingstoke and Deane 006B,Investigation complete; no suspect identified
c810d1ff6aba91996bfddbfcd6e9be9d432c1bec37c09c67368f1743da4b77aa,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.371587,50.886977,On or near Holt Court,E01017279,Southampton 031E,Local resolution
8d628e63d1b5461b839e9ff0fa838d812bb023f37a61a7ec9090b634963c3811,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.387791,50.939247,On or near Tulip Road,E01017266,Southampton 005A,Investigation complete; no suspect identified
0e846e870c0fab94b9f1e3af2122461d4d6125c80a26aaaa80ca30e7c766cda1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.069048,51.263959,On or near Lime Gardens,E01022502,Basingstoke and Deane 011B,Investigation complete; no suspect identified
dab3e2be78656e440420a9e1fb060a8aed3363019e665b8ce1a8cff870242648,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.074173,50.787400,On or near Wyndcliffe Road,E01017027,Portsmouth 020C,Investigation complete; no suspect identified
44dd23052979d189a1fb58140a6d8771e59956a647702002322896b2c0d0267c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.072151,50.829380,On or near Elmwood Road,E01017091,Portsmouth 007D,Investigation complete; no suspect identified
a00667836d47793ab238250300af8f28eb82433e4011271ab3ee64061a012c9d,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.300948,50.845003,On or near Gilchrist Gardens,E01022791,Fareham 006C,Investigation complete; no suspect identified
a93fc2dd012fbb68a6ec1d356d7b7875521f3834ed377b71d5da3a74b30c5a4e,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.783383,51.124772,On or near Hammer Lane,E01022603,East Hampshire 004A,Investigation complete; no suspect identified
030385bb04b7be3ed8d6b4b31ffc3c7bc217df9ffee3df198d26e76c2e01168b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.408975,50.898305,On or near Parking Area,E01017140,Southampton 023D,Investigation complete; no suspect identified
9f665a5037dd1813f2929e8c0cfab2bc76363f858c884c82386977e813d8176b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.072586,50.834635,On or near Bus/Coach Station,E01017089,Portsmouth 007B,Investigation complete; no suspect identified
e4b61c67464fa6546e8b6804cda6179bca7bb64df11e8ca41e1aae8fcc6047cb,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.407260,50.905733,On or near Supermarket,E01017140,Southampton 023D,Investigation complete; no suspect identified
c952dff7dd015a3f83f40c167780605b8fffc29ee10c16ef98fe883cb67283ab,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.306265,50.883028,On or near Station Hill,E01022657,Eastleigh 013D,Investigation complete; no suspect identified
41d99e859119c763dcd72b22a89d356ae87c015300a2a941816a450d1f116a07,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.011488,50.912910,On or near Catherington Lane,E01022613,East Hampshire 014C,Investigation complete; no suspect identified
26dc16b3b22c69a7bfe2ee5acf0832971e34a80cb73848b667f83215357f74f1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.297587,50.702592,On or near Vicarage Walk,E01017325,Isle of Wight 009B,Investigation complete; no suspect identified
10e52e2b1371b768ac2a560dcf60eda87ce9fa00476425192ec24b575a5aacb8,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.048741,50.887833,On or near Tamworth Road,E01023232,Winchester 014C,Investigation complete; no suspect identified
034c26a80729b0d3b51f2cd7b67e3af418e5ee402b68a5938075f0624663dacc,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.299692,50.953535,On or near Chapel Drove,E01022686,Eastleigh 008F,Investigation complete; no suspect identified
35152da645a97eb53ca52d5d80039f262241ec76787f2ad2b519c61de01f4a4d,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.335190,51.227115,On or near Broadway,E01022564,Basingstoke and Deane 020C,Investigation complete; no suspect identified
5c788bfed37db885c8fbd805494ce355333e78953a4d4a4d683114d25bb8ea5a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.052669,51.325135,On or near Pond Road,E01022491,Basingstoke and Deane 005B,Investigation complete; no suspect identified
574af89680d4f73e63fba4bd008ff207a02b28e47ac9cc37212e492c926c2a0c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.296496,50.929461,On or near Beattie Rise,E01022693,Eastleigh 010D,Investigation complete; no suspect identified
0c6f4cd1de35123a9bb86398b2b0390e84758dabbfed155a05e530cd8ec2f767,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.299241,50.763555,On or near Market Hill,E01017300,Isle of Wight 001A,Investigation complete; no suspect identified
40ac95c68f95407994cb7c8b725b236b1084fe24a13c8e40bd65c949d35e0ac0,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.797494,51.075477,On or near Ontario Way,E01022584,East Hampshire 009B,Investigation complete; no suspect identified
a01f00095c36b01f90e03920fc3f8ebc8bf5317febfa1bbb9411fcdac814560c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.640656,50.752471,On or near Carrick Way,E01022986,New Forest 021A,Local resolution
8d54ef317e05567df13cb3008c115c74b5690d1cf61cab94e2dffbc16ae41ea5,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.970094,51.188279,On or near Beech Hangers Lane,E01032855,Hart 011D,Investigation complete; no suspect identified
086b0cfa9ba54fd3fc41cc41fdfeca759b4e8b4256e0dfd08979c402acd094fe,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.208649,50.950068,On or near Campion Drive,E01023223,Winchester 012D,Investigation complete; no suspect identified
9ef59d66830879de9320752aef3618933aeb50c7973cb32381ada95d5e19700a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.746506,51.246427,On or near Needhams Place,E01032858,Rushmoor 009F,Investigation complete; no suspect identified
6d6b50122fbc30f1b22414064d911a3549baedae076d431e6385c2947a12bf92,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.046703,51.132196,On or near Abbey Road,E01022596,East Hampshire 007E,Investigation complete; no suspect identified
bf221f3dd0954265fd17dd4f16ec171b5c2eea88512612cfa2900ba20df7e629,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.465015,50.936892,On or near Jerrett's Lane,E01023170,Test Valley 015A,Investigation complete; no suspect identified
ca86d5f3429a49bd90badbc578b3490a77299be147360104e8962617e5cf771e,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.019510,50.894668,On or near Mission Lane,E01022920,Havant 020B,Investigation complete; no suspect identified
cfa9340ebd6b5bd0a17f9a2fc906cfabfe975bb9423d5f5983d650181542aa7b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.082793,50.840742,On or near Supermarket,E01017054,Portsmouth 004A,Investigation complete; no suspect identified
ec293eceb9e81bac94f847e78d702b64610a2a549aa3dec5ba0b21b3b940dd4c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.117920,50.794402,On or near Gosport Bus Station,E01032879,Gosport 008G,Investigation complete; no suspect identified
7593dc48e80ac44144e75ef9e7cb764451eeaf451a5520c12cba77a8f4195d9d,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.989788,50.942166,On or near Bee Orchid Close,E01022588,East Hampshire 013A,Investigation complete; no suspect identified
dd70e59a8a2eb5ea56fcc176dfe86d44b03a5f818c2858d325319aef674c9234,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.430668,50.926856,On or near Wordsworth Road,E01017250,Southampton 010B,Investigation complete; no suspect identified
9304681d191e91d118096001d2c27ea09f2a2ebc79d014a82e4d8979854ac707,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.479717,50.996776,On or near Fairview Drive,E01023176,Test Valley 010C,Investigation complete; no suspect identified
d9efadab5fbcb8a55d1508885e6c7872ba60f8e847b25e9e265812df51b736f1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.109279,50.792196,On or near Bath Square,E01033380,Portsmouth 024E,Investigation complete; no suspect identified
293cb8c3dce5fb118e5dfd08f986a5ddb65a0e041911a5262bb501987d8a6f9a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.294128,50.706582,On or near Bernard Way,E01017334,Isle of Wight 008E,Investigation complete; no suspect identified
4026b3bf5669b4c96aa4c119738757ce630be9b27c6a38a8c0881a0da4888dc1,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.791749,50.927135,On or near Supermarket,E01023022,New Forest 001D,Investigation complete; no suspect identified
dc13dd9ec332f39a83f85175069d4424c8747d24b4e9e6bcfbb35f4432f06f3b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.125086,51.256523,On or near Cleaver Road,E01022484,Basingstoke and Deane 013A,Investigation complete; no suspect identified
f672ed18a6e828b42bfd3281a92b19fbbe75a9b8312f78d8cb0eec96514d55e9,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.789634,51.292184,On or near Regiment Close,E01023093,Rushmoor 005B,Investigation complete; no suspect identified
c7d32114938308eadaca3565fae613a852db00177cd0a5f2a9e4fb02175300b0,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.213655,50.825347,On or near Supermarket,E01022776,Fareham 013B,Investigation complete; no suspect identified
3ff02ccf53bf3aeec22c831b4abff8e5c3ef9d6115294fc38dadb8f12761fe9b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.542895,50.754584,On or near Daniell's Close,E01023044,New Forest 023A,Investigation complete; no suspect identified
af5f32772c8d95d2d9bb2126da191d127b7b07ba1130f2f08724aedccee29769,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.363134,50.926238,On or near Edgehill Road,E01017176,Southampton 008C,Investigation complete; no suspect identified
fbc06c19375b66f90bbea9111a9a6f7563fd4e7cabd07a58c55bae348c9fa475,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.399265,50.922472,On or near Livingstone Road,E01017157,Southampton 017A,Investigation complete; no suspect identified
dacd8732540093548f2c8f78c288d809bfa300f459b007157c1348c16536af23,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.085711,50.820629,On or near Strode Road,E01017106,Portsmouth 010B,Investigation complete; no suspect identified
fea497dfb2188bf5bd5255a20fc90e68f9f3de9fb03434f83bab5171812f7a73,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.183978,50.833714,On or near Supermarket,E01032877,Fareham 013F,Investigation complete; no suspect identified
2e0c37de11502aebe3635b359636df52e7665dd22699163700860b1a2271c2ab,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.321829,50.895844,On or near Newman Road,E01022656,Eastleigh 013C,Investigation complete; no suspect identified
e0a9fcb81534dddce008f20aed9b20d12926a475761044dba97515c921907ead,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.060853,50.808606,On or near Supermarket,E01017016,Portsmouth 014B,Investigation complete; no suspect identified
2e96306b6c9f6e2c1741979a67bf34de73d33ec561530deb1087bc51708cb0f5,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.507544,51.306178,On or near School Close,E01023165,Test Valley 001A,Investigation complete; no suspect identified
a108f6b43a44944b893e5ed8a8692982327efd23cff724ca3cfbb204d08d5ecf,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.045253,50.821231,On or near Bilton Way,E01017046,Portsmouth 008B,Investigation complete; no suspect identified
afc0383332e88ce6fac9a75d0b232ff61255cb5de7eeed55a857cca49398958a,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.064442,50.816504,On or near Tokio Road,E01017014,Portsmouth 008A,Investigation complete; no suspect identified
52bc21a2c95ac66a813479c23a1665d5352da99d88d222dd0856fc273ff8afd4,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.303801,50.926268,On or near Haileybury Gardens,E01022703,Eastleigh 011E,Investigation complete; no suspect identified
525ae0a373189035647e8780cbb38f391ca6e00ab10fc3f588bd0468dc6ed3b6,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.244940,50.834600,On or near Triangle Lane,E01022781,Fareham 007A,Investigation complete; no suspect identified
71a1e0820f00cb68be536991fcb2cee60cce4c207601724d25f7d296e1921959,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.084693,50.811709,On or near Centaur Street,E01017102,Portsmouth 013D,Investigation complete; no suspect identified
b242744add18d832aa417aa305df8f818f377332db2fbb6c0aa558dbdd996a21,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.075371,50.803650,On or near Woodland Street,E01017077,Portsmouth 015B,Investigation complete; no suspect identified
b3ddbbbb7555e6a0144bb6ec2a635a3393fbdf569b70ced8b30ad9253e13566b,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.089780,50.793890,On or near Radnor Street,E01017130,Portsmouth 018D,Investigation complete; no suspect identified
5c5ac9446d1e33eba6ad46bb475ab394372dfebc8a079d7c118133c160b21d5c,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.396212,50.915469,On or near Blackberry Terrace,E01017155,Southampton 022C,Investigation complete; no suspect identified
80f0dfd1100f6d6382a47aa7b898da0d8ce6a4e275725fad32758e97d338d2f6,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.288203,50.851841,On or near Dibles Road,E01022792,Fareham 006D,Investigation complete; no suspect identified
b6b2350348b6fa155f66a33bcd26b8534ee225f598bdee112dbc736279c4f802,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.416407,50.920329,On or near Atherley Court,E01017249,Southampton 011C,Investigation complete; no suspect identified
75a95ba8bf205e54e1211f7cccdccd3b88f419099860057061d588426b25bf37,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.673810,50.744619,On or near Byron Road,E01022981,New Forest 022A,Investigation complete; no suspect identified
